GO:0070935	3'-UTR-mediated mRNA stabilization
BSPO:0000071^OBO_REL:part_of(TAO:0001094)	anterior region of body
BSPO:0000071^OBO_REL:part_of(TAO:0000008)	anterior region of brain
BSPO:0000071^OBO_REL:part_of(ZFA:0005606)	anterior region of cranial vault
BSPO:0000071^OBO_REL:part_of(TAO:0000101)	anterior region of diencephalon
BSPO:0000071^OBO_REL:part_of(TAO:0000107)	anterior region of eye
BSPO:0000071^OBO_REL:part_of(TAO:0000109)	anterior region of forebrain
BSPO:0000071^OBO_REL:part_of(TAO:0000110)	anterior region of fourth ventricle
BSPO:0000071^OBO_REL:part_of(TAO:0001114)	anterior region of head
BSPO:0000071^OBO_REL:part_of(TAO:0000029)	anterior region of hindbrain
BSPO:0000071^OBO_REL:part_of(TAO:0005124)	anterior region of intestinal epithelium
BSPO:0000071^OBO_REL:part_of(TAO:0001326)	anterior region of lens epithelium
BSPO:0000071^OBO_REL:part_of(TAO:0001580)	anterior region of neurocranium
BSPO:0000071^OBO_REL:part_of(TAO:0001120)	anterior region of neuroectoderm
BSPO:0000071^OBO_REL:part_of(VSAO:0000032)	anterior region of notochord
BSPO:0000071^OBO_REL:part_of(TAO:0000060)	anterior region of prechordal plate
BSPO:0000071^OBO_REL:part_of(TAO:0001558)	anterior region of pronephric tubule
BSPO:0000071^OBO_REL:part_of(TAO:0000151)	anterior region of pronephros
BSPO:0000071^OBO_REL:part_of(TAO:0002289)	anterior region of sclera
BSPO:0000071^OBO_REL:part_of(TAO:0000279)	anterior region of segmental plate
BSPO:0000071^OBO_REL:part_of(TAO:0000155)	anterior region of somite
BSPO:0000071^OBO_REL:part_of(TAO:0001115)	anterior region of trunk
BSPO:0000071^OBO_REL:part_of(VSAO:0000185)	anterior region of vertebral column
ZFA:0005566	anterior segment eye
TAO:0000314	anterior semicircular canal
TAO:0000469	anterior semicircular canal primordium
BSPO:0000055^OBO_REL:part_of(TAO:0001205)	anterior side of Meckel's cartilage
BSPO:0000055^OBO_REL:part_of(TAO:0001094)	anterior side of body
BSPO:0000055^OBO_REL:part_of(TAO:0000144)	anterior side of retinal pigmented epithelium
BSPO:0000055^OBO_REL:part_of(TAO:0001115)	anterior side of trunk
BSPO:0000036^OBO_REL:part_of(TAO:0001114)	anterior-most of head
BSPO:0000036^OBO_REL:part_of(TAO:0000079)	anterior-most of telencephalon
BSPO:0000013^OBO_REL:part_of(TAO:0001094)	anterior/posterior axis of body
BSPO:0000013^OBO_REL:part_of(TAO:0000008)	anterior/posterior axis of brain
BSPO:0000013^OBO_REL:part_of(TAO:0000107)	anterior/posterior axis of eye
BSPO:0000013^OBO_REL:part_of(TAO:0001114)	anterior/posterior axis of head
BSPO:0000013^OBO_REL:part_of(TAO:0000029)	anterior/posterior axis of hindbrain
BSPO:0000013^OBO_REL:part_of(TAO:0000051)	anterior/posterior axis of otic vesicle
BSPO:0000013^OBO_REL:part_of(TAO:0000255)	anterior/posterior axis of paraxial mesoderm
BSPO:0000013^OBO_REL:part_of(TAO:0000155)	anterior/posterior axis of somite
BSPO:0000013^OBO_REL:part_of(TAO:0001115)	anterior/posterior axis of trunk
GO:0009948	anterior/posterior axis specification
GO:0033564	anterior/posterior axon guidance
GO:0009952	anterior/posterior pattern specification
GO:0034672	anterior/posterior pattern specification involved in pronephros development
BSPO:0000026^OBO_REL:part_of(TAO:0007026)	antero-dorsal region of forebrain neural keel
BSPO:0000029^OBO_REL:part_of(TAO:0000060)	antero-lateral region of prechordal plate
BSPO:0000688^OBO_REL:part_of(TAO:0000250)	antero-ventral margin of opercle
BSPO:0000027^OBO_REL:part_of(TAO:0001194)	antero-ventral region of cranial neural crest
BSPO:0000027^OBO_REL:part_of(TAO:0000029)	antero-ventral region of hindbrain
GO:0042891	antibiotic transport
GO:0042895	antibiotic transporter activity
TAO:0005004	aortic arch
TAO:0005009	aortic arch 5
TAO:0005016	aortic arch 6
GO:0045179^OBO_REL:part_of(TAO:0009035)	apical cortex of ciliated epithelial cell
TAO:0000085	apical ectodermal ridge pectoral fin bud
TAO:0001385	apical ectodermal ridge pelvic fin bud
GO:0043297	apical junction assembly
GO:0043296^OBO_REL:part_of(TAO:0001357)	apical junction complex of alar plate midbrain
GO:0043296^OBO_REL:part_of(TAO:0009316)	apical junction complex of cardiac muscle cell
GO:0043296^OBO_REL:part_of(TAO:0001135)	apical junction complex of neural tube
GO:0043296^OBO_REL:part_of(TAO:0000046)	apical junction complex of retinal neural layer
GO:0045177^OBO_REL:part_of(TAO:0009306)	apical part of cell of neuroepithelial cell
GO:0045176	apical protein localization
BSPO:0000073^OBO_REL:part_of(TAO:0000046)	apical region of retinal neural layer
BSPO:0000373^OBO_REL:part_of(CARO:0000013)	apical surface of cell
BSPO:0000373^OBO_REL:part_of(TAO:0009306)	apical surface of neuroepithelial cell
BSPO:0000014^OBO_REL:part_of(TAO:0001094)	apical/basal axis of body
GO:0060561	apoptosis involved in morphogenesis
GO:0030263	apoptotic chromosome condensation
GO:0006915	apoptotic process
TAO:0002288^OBO_REL:part_of(ZFA:0005566)	aqueous humor of anterior segment eye
TAO:0005146	area postrema
GO:0048844	artery morphogenesis
TAO:0000005^OBO_REL:part_of(TAO:0000152)	artery of retina
GO:0000244	assembly of spliceosomal tri-snRNP
GO:0008306	associative learning
GO:0055049	astral spindle assembly
GO:0048143	astrocyte activation
TAO:0009075^OBO_REL:part_of(TAO:0000029)	astrocyte of hindbrain
TAO:0009075^OBO_REL:part_of(TAO:0001083)	astrocyte of ventricular zone
GO:0055014	atrial cardiac muscle cell development
GO:0055011	atrial cardiac muscle cell differentiation
TAO:0002169	atrial endocardium
TAO:0001374	atrial myocardium
GO:0003294	atrial ventricular junction remodeling
TAO:0001315	atrioventricular canal
TAO:0002170	atrioventricular canal endocardium
TAO:0005064	atrioventricular valve
GO:0003171	atrioventricular valve development
GO:0003190	atrioventricular valve formation
GO:0003181	atrioventricular valve morphogenesis
TAO:0005070	atriovetricular node
TAO:0000471	atrium
TAO:0001500	auditory capsule
GO:0042491	auditory receptor cell differentiation
GO:0042667	auditory receptor cell fate specification
GO:0048483	autonomic nervous system development
GO:0006914	autophagy
TAO:0005295	axial blood vessel
TAO:0000091	axial chorda mesoderm
TAO:0001378	axial hypoblast
TAO:0001204	axial mesoderm
GO:0048318	axial mesoderm development
GO:0048327	axial mesodermal cell fate specification
TAO:0001073	axial vasculature
TAO:0000092	axis
GO:0003401	axis elongation
GO:0009798	axis specification
GO:0044303^OBO_REL:part_of(TAO:0000200)	axon collateral of dorsal root ganglion
GO:0044303^OBO_REL:part_of(TAO:0009052)	axon collateral of motor neuron
GO:0044303^OBO_REL:part_of(TAO:0009244)	axon collateral of primary motor neuron
GO:0044303^OBO_REL:part_of(TAO:0009247)	axon collateral of secondary motor neuron
GO:0044303^OBO_REL:part_of(TAO:0000295)	axon collateral of trigeminal ganglion
GO:0048675	axon extension
GO:0048846	axon extension involved in axon guidance
GO:0048676	axon extension involved in development
GO:0048677	axon extension involved in regeneration
GO:0007411	axon guidance
GO:0016199	axon midline choice point recognition
GO:0030424^OBO_REL:part_of(TAO:0009243)	axon of CAP motoneuron
GO:0030424^OBO_REL:part_of(TAO:0009149)	axon of Mauthner neuron
GO:0030424^OBO_REL:part_of(TAO:0005179)	axon of MiP motor neuron
GO:0030424^OBO_REL:part_of(TAO:0005180)	axon of RoP motor neuron
GO:0030424^OBO_REL:part_of(TAO:0009150)	axon of Rohon-Beard neuron
GO:0030424^OBO_REL:part_of(TAO:0005181)	axon of VaP motor neuron
GO:0030424^OBO_REL:part_of(TAO:0001108)	axon of anterior commissure
GO:0030424^OBO_REL:part_of(TAO:0000318)	axon of brain stem/spinal tract and commissures
GO:0030424^OBO_REL:part_of(TAO:0000435)	axon of cranial nerve II
GO:0030424^OBO_REL:part_of(TAO:0000668)	axon of cranial nerve IX
GO:0030424^OBO_REL:part_of(TAO:0000697)	axon of cranial nerve V
GO:0030424^OBO_REL:part_of(TAO:0000310)	axon of cranial nerve VI
GO:0030424^OBO_REL:part_of(TAO:0000453)	axon of cranial nerve X
GO:0030424^OBO_REL:part_of(TAO:0009301)	axon of dopaminergic neuron
GO:0030424^OBO_REL:part_of(TAO:0000019)	axon of epiphysis
GO:0030424^OBO_REL:part_of(TAO:0000107)	axon of eye
GO:0030424^OBO_REL:part_of(TAO:0001291)	axon of facial ganglion
GO:0030424^OBO_REL:part_of(TAO:0000109)	axon of forebrain
GO:0030424^OBO_REL:part_of(TAO:0009070)	axon of granule cell
GO:0030424^OBO_REL:part_of(TAO:0000213)	axon of habenula
GO:0030424^OBO_REL:part_of(TAO:0000029)	axon of hindbrain
GO:0030424^OBO_REL:part_of(TAO:0002199)	axon of hindbrain commissure
GO:0030424^OBO_REL:part_of(TAO:0000032)	axon of hypothalamus
GO:0030424^OBO_REL:part_of(TAO:0001479)	axon of lateral line nerve
GO:0030424^OBO_REL:part_of(TAO:0000534)	axon of lateral longitudinal fasciculus
GO:0030424^OBO_REL:part_of(TAO:0000543)	axon of medial longitudinal fasciculus
GO:0030424^OBO_REL:part_of(TAO:0000128)	axon of midbrain
GO:0030424^OBO_REL:part_of(TAO:0009052)	axon of motor neuron
GO:0030424^OBO_REL:part_of(TAO:0009248)	axon of neuron
GO:0030424^OBO_REL:part_of(TAO:0009125)	axon of olfactory receptor cell
GO:0030424^OBO_REL:part_of(TAO:0009076)	axon of oligodendrocyte
GO:0030424^OBO_REL:part_of(TAO:0000556)	axon of optic chiasm
GO:0030424^OBO_REL:part_of(TAO:0002213)	axon of optic nerve head
GO:0030424^OBO_REL:part_of(TAO:0000445)	axon of optic tectum
GO:0030424^OBO_REL:part_of(ZFA:0005437)	axon of pectoral fin motor nerve
GO:0030424^OBO_REL:part_of(TAO:0000944)	axon of posterior lateral line
GO:0030424^OBO_REL:part_of(TAO:0000175)	axon of posterior lateral line nerve
GO:0030424^OBO_REL:part_of(TAO:0009244)	axon of primary motor neuron
GO:0030424^OBO_REL:part_of(TAO:0009242)	axon of primary neuron
GO:0030424^OBO_REL:part_of(TAO:0000152)	axon of retina
GO:0030424^OBO_REL:part_of(TAO:0009318)	axon of retinal bipolar neuron
GO:0030424^OBO_REL:part_of(TAO:0009310)	axon of retinal ganglion cell
GO:0030424^OBO_REL:part_of(TAO:0009247)	axon of secondary motor neuron
GO:0030424^OBO_REL:part_of(TAO:0000075)	axon of spinal cord
GO:0030424^OBO_REL:part_of(TAO:0001347)	axon of stratum fibrosum et griseum superficiale
GO:0030424^OBO_REL:part_of(TAO:0001366)	axon of tract of the postoptic commissure
GO:0030424^OBO_REL:part_of(TAO:0000295)	axon of trigeminal ganglion
GO:0030424^OBO_REL:part_of(TAO:0001442)	axon of upper rhombic lip
GO:0031103	axon regeneration
GO:0007412	axon target recognition
GO:0043679^OBO_REL:part_of(TAO:0009280)	axon terminus of Muller cell
GO:0043679^OBO_REL:part_of(TAO:0009319)	axon terminus of ON-bipolar cell
GO:0043679^OBO_REL:part_of(TAO:0009150)	axon terminus of Rohon-Beard neuron
GO:0043679^OBO_REL:part_of(TAO:0009052)	axon terminus of motor neuron
GO:0043679^OBO_REL:part_of(TAO:0009125)	axon terminus of olfactory receptor cell
GO:0043679^OBO_REL:part_of(TAO:0009262)	axon terminus of retinal cone cell
GO:0043679^OBO_REL:part_of(TAO:0000295)	axon terminus of trigeminal ganglion
GO:0007414	axonal defasciculation
GO:0007413	axonal fasciculation
GO:0044295^OBO_REL:part_of(TAO:0009076)	axonal growth cone of oligodendrocyte
GO:0005858^OBO_REL:part_of(TAO:0000001)	axonemal dynein complex of Kupffer's vesicle
